id,borrower_id,loan_type,principal_amount,outstanding_balance,emi_amount,interest_rate,tenure_months,months_completed,disbursement_date,status
d5c37604-7e45-4697-b4ce-0ad10f2209da,68cc7220-8b76-4166-a3f0-56cf996c0d71,vehicle,1036000.0,479518.17,27142.3,8.86,45,26,2024-05-08,active
abab1b2a-95ea-4136-bbc7-8c56b9ea6f2d,1993b817-8170-4ab7-b4d4-526464718380,personal,61000.0,19909.41,3464.32,14.94,20,14,2025-05-03,active
7fba645e-2174-4d23-86d2-4f6206ee52a4,e62b9250-9449-4ee0-ba1a-a7a153bd8b2b,education,1301000.0,519557.02,20576.8,8.73,85,57,2021-10-21,active
de1daca8-8b78-4a14-9ed7-02298785aa04,e4525d3e-f9bd-4ec3-87cf-6dedf8b280fa,business,3377000.0,2577910.25,88107.62,10.6,47,13,2025-06-02,active
21690ffd-4f72-401c-b753-8eb07747dfa1,b5ff392d-114a-410d-b62e-7cd445cee6ac,home,623000.0,406332.93,5882.0,7.8,180,88,2019-04-05,active
cc127da4-60ab-4607-997a-b0d9661e9473,e51f9bf6-4e48-4d00-9269-ed69306af730,home,4230000.0,2516308.39,46824.02,8.11,140,73,2020-06-28,active
73bdba43-793b-4565-8ce6-eb7f37dd7187,83e16c55-ec0d-4878-be77-8f2cb4ae52f9,home,4149000.0,2688130.8,37869.21,8.5,212,113,2017-03-16,active
d1f3695a-cdea-4700-a340-bea84be2c183,1b889cca-1846-45e8-a504-d0a9c4345979,vehicle,488000.0,414089.95,8201.14,8.65,78,15,2025-04-03,active
ee396445-c739-4b66-aee2-53dbb49a8d26,f8b6636c-1335-4724-a21d-ae4802899a67,home,2925000.0,2582921.52,29103.77,8.72,181,38,2023-05-14,active
73353b0d-11fc-4924-9745-e337941ad532,45df213d-2be9-4169-bbf0-71dead0efdba,home,7575000.0,4586011.31,65156.13,7.93,222,127,2016-01-21,active
1d82f22f-5e9a-4782-9bd1-8799e19721d4,90d588ee-394c-441c-a91f-dbae62333227,home,2810000.0,1512088.83,31212.94,8.18,140,81,2019-11-01,active
1895d01a-50bc-46d7-b5b3-e5518c42b8e2,8fe60dcf-065e-463c-8417-c6c934336eb3,business,2259000.0,499185.24,65334.47,12.4,43,35,2023-08-12,active
6210f724-69f4-48ac-8e9b-7af7307a0c9b,dbc91ce0-2973-4f5d-8af1-82b37dba82cc,personal,376000.0,240397.3,9439.01,15.32,56,25,2024-06-07,active
3a3cf409-8435-48de-b314-fdf0529abac2,9c9491b5-efb6-45de-b28b-a6916ba9581f,business,2473000.0,686254.46,80045.13,11.79,37,28,2024-03-09,active
4da9f9cd-78f4-485f-ada8-72ee30184650,bc7273ca-ea70-4434-8d9d-59a794788db3,home,7584000.0,5738693.67,67372.52,7.97,208,82,2019-10-02,active
37a5ba9b-11e7-4b64-92d3-98413a5adfc2,be65bb93-4bbd-4c4d-93b1-e8ed87057e0b,business,4529000.0,1806344.32,96761.31,13.15,66,45,2022-10-16,active
a0c0b75e-e5a8-40d0-b7f7-e04a900e2914,84239039-3ab2-4c8b-9242-4860b012033b,business,1789000.0,1087637.5,48537.79,13.61,48,22,2024-09-05,active
8035a73d-0201-4cda-84cb-af0c44c6772c,cbd59e41-328c-4341-a109-31348403690f,vehicle,1230000.0,261742.7,30341.15,10.27,50,41,2023-02-13,active
0a2ffcf5-30b1-4c56-a926-9033781c9837,ef5a5fac-ef79-4419-8994-1d97e47b7fc9,home,6647000.0,6538227.9,65608.48,8.63,182,6,2025-12-29,active
ba8ed8b3-13dc-4418-8e9b-1b07275ab351,2cf8937a-044f-40a1-8897-94d8551e4198,personal,446000.0,197041.34,15406.19,14.75,36,22,2024-09-05,active
fc424d8f-9bc2-44ce-ad92-9595ed843e58,da5aebd8-9825-4b9f-9f4b-0a28fe8e9b7f,home,4182000.0,359198.29,41473.39,9.3,197,188,2011-01-17,active
f8de9d0e-9e18-45bf-9961-90d70dc9a69d,ec96474b-b595-469c-975b-318f836d54e2,home,3871000.0,624103.37,33404.19,7.89,219,199,2010-02-21,active
cc5cfd3a-a9fe-4c82-9b65-9a33c8b216c8,dd7e1f80-e1a3-4313-b7cf-c2b9858def6a,personal,114000.0,78084.71,8294.92,13.37,15,5,2026-01-28,active
4b10f7be-a223-4bc2-aa1a-48214a140245,9f71483c-d53b-4696-b23e-f611b062b23c,business,1771000.0,1418765.83,33612.6,11.93,75,20,2024-11-04,active
41857790-5b1e-4750-b218-79641d4281f2,33ccd40a-c671-461d-90c8-ec44a119522d,business,4792000.0,3290718.22,103324.96,13.94,67,27,2024-04-08,active
47f14971-bd25-4cf7-973f-3cd8d7f5cd21,336ec6e9-33b8-4571-b756-ebaeec2b59c9,vehicle,1363000.0,748849.55,24759.28,10.01,74,39,2023-04-14,active
fb83401a-14fe-4de9-8800-4c09cb257774,313a8fe1-6e24-4065-81ee-3fd86f728d09,vehicle,1524000.0,507524.9,38513.67,9.81,48,34,2023-09-11,active
ceab82e6-5a4c-4dba-bff4-0b5a9bb85c03,79037c07-f875-4f6c-9ffe-f27da86ef1cc,home,6430000.0,6356303.19,65909.66,8.9,174,4,2026-02-27,active
5a354075-5df7-4ce8-9e97-395aeee9ceca,66ee6a1d-9ee9-40ba-920e-7a4bf4069b6e,home,2032000.0,843235.71,20408.2,7.55,157,109,2017-07-14,active
38c2582d-e2a3-4cea-a8b0-7864715fe9f8,4a3ef400-0661-410b-9014-d43510c4b8c4,home,3987000.0,2887726.87,37350.67,9.49,236,116,2016-12-16,active
e7c0a7af-a81a-4a2c-abb7-91e917de59d1,887c9bb2-a0a6-41f3-a039-c55fb2d3be83,personal,300000.0,187903.7,7835.62,13.22,50,22,2024-09-05,active
4e6eebbb-2566-4073-887b-81b5bef523e8,eba7e710-58bf-43b8-bfbd-af50ce10113f,home,2552000.0,861769.66,26318.98,7.9,155,118,2016-10-17,active
47f60cac-07cf-4f0a-96b3-7f03b1c735f6,6b128996-d1bf-41a8-bd83-ceb087878acb,home,4899000.0,4326680.11,53679.59,9.41,161,33,2023-10-11,active
6c6dedbf-af71-4b81-9d95-7bea297f2fb4,844971ec-131c-46ee-958a-414a195dbbfc,home,2949000.0,2043339.11,28512.18,8.24,181,82,2019-10-02,active
e1a6ab7b-99e3-4719-8058-93375a70ee02,764a4647-b7c6-44a6-ad55-2353596daa4a,vehicle,875000.0,387592.18,27607.98,10.07,37,22,2024-09-05,active
