SK_ID_CURR,actual_TARGET,predicted_probability,risk_score,risk_tier,recommended_action,finsense_alert
156227,1,0.98300123,98.3,red,Pre-default risk. Immediate branch escalation recommended.,True
163956,1,0.97399265,97.4,red,Pre-default risk. Immediate branch escalation recommended.,True
241788,1,0.96808594,96.81,red,Pre-default risk. Immediate branch escalation recommended.,True
199300,1,0.9661292,96.61,red,Pre-default risk. Immediate branch escalation recommended.,True
157248,1,0.9653975,96.54,red,Pre-default risk. Immediate branch escalation recommended.,True
187933,1,0.9653293,96.53,red,Pre-default risk. Immediate branch escalation recommended.,True
418340,0,0.96380115,96.38,red,Pre-default risk. Immediate branch escalation recommended.,True
364735,0,0.963694,96.37,red,Pre-default risk. Immediate branch escalation recommended.,True
236551,1,0.9625054,96.25,red,Pre-default risk. Immediate branch escalation recommended.,True
417363,1,0.96235687,96.24,red,Pre-default risk. Immediate branch escalation recommended.,True
243023,1,0.96220124,96.22,red,Pre-default risk. Immediate branch escalation recommended.,True
135603,1,0.961451,96.15,red,Pre-default risk. Immediate branch escalation recommended.,True
315717,1,0.9594134,95.94,red,Pre-default risk. Immediate branch escalation recommended.,True
427557,0,0.95815086,95.82,red,Pre-default risk. Immediate branch escalation recommended.,True
164614,1,0.9578942,95.79,red,Pre-default risk. Immediate branch escalation recommended.,True
239189,1,0.95774436,95.77,red,Pre-default risk. Immediate branch escalation recommended.,True
102796,1,0.95732313,95.73,red,Pre-default risk. Immediate branch escalation recommended.,True
154089,1,0.9567531,95.68,red,Pre-default risk. Immediate branch escalation recommended.,True
310987,1,0.95608526,95.61,red,Pre-default risk. Immediate branch escalation recommended.,True
436768,1,0.95609325,95.61,red,Pre-default risk. Immediate branch escalation recommended.,True
360146,1,0.9558681,95.59,red,Pre-default risk. Immediate branch escalation recommended.,True
227964,1,0.9545032,95.45,red,Pre-default risk. Immediate branch escalation recommended.,True
344759,1,0.9545374,95.45,red,Pre-default risk. Immediate branch escalation recommended.,True
214692,1,0.9542529,95.43,red,Pre-default risk. Immediate branch escalation recommended.,True
182478,1,0.95416605,95.42,red,Pre-default risk. Immediate branch escalation recommended.,True
154759,1,0.9541236,95.41,red,Pre-default risk. Immediate branch escalation recommended.,True
222964,0,0.95400846,95.4,red,Pre-default risk. Immediate branch escalation recommended.,True
179036,0,0.95397115,95.4,red,Pre-default risk. Immediate branch escalation recommended.,True
360304,0,0.9539029,95.39,red,Pre-default risk. Immediate branch escalation recommended.,True
406957,1,0.9532939,95.33,red,Pre-default risk. Immediate branch escalation recommended.,True
137171,0,0.9530354,95.3,red,Pre-default risk. Immediate branch escalation recommended.,True
225921,1,0.95294154,95.29,red,Pre-default risk. Immediate branch escalation recommended.,True
230337,1,0.9526166,95.26,red,Pre-default risk. Immediate branch escalation recommended.,True
385033,1,0.95248526,95.25,red,Pre-default risk. Immediate branch escalation recommended.,True
426909,1,0.95232856,95.23,red,Pre-default risk. Immediate branch escalation recommended.,True
151513,1,0.9519568,95.2,red,Pre-default risk. Immediate branch escalation recommended.,True
159831,1,0.951721,95.17,red,Pre-default risk. Immediate branch escalation recommended.,True
313738,1,0.9516006,95.16,red,Pre-default risk. Immediate branch escalation recommended.,True
411548,1,0.95053506,95.05,red,Pre-default risk. Immediate branch escalation recommended.,True
232969,1,0.950273,95.03,red,Pre-default risk. Immediate branch escalation recommended.,True
178606,1,0.9502747,95.03,red,Pre-default risk. Immediate branch escalation recommended.,True
228028,0,0.950125,95.01,red,Pre-default risk. Immediate branch escalation recommended.,True
250277,1,0.9495527,94.96,red,Pre-default risk. Immediate branch escalation recommended.,True
272761,0,0.9486305,94.86,red,Pre-default risk. Immediate branch escalation recommended.,True
168786,0,0.9484644,94.85,red,Pre-default risk. Immediate branch escalation recommended.,True
364859,1,0.9483229,94.83,red,Pre-default risk. Immediate branch escalation recommended.,True
226483,0,0.9480162,94.8,red,Pre-default risk. Immediate branch escalation recommended.,True
168287,1,0.94738626,94.74,red,Pre-default risk. Immediate branch escalation recommended.,True
204878,0,0.946976,94.7,red,Pre-default risk. Immediate branch escalation recommended.,True
428689,1,0.9466993,94.67,red,Pre-default risk. Immediate branch escalation recommended.,True
280436,0,0.94664145,94.66,red,Pre-default risk. Immediate branch escalation recommended.,True
171698,0,0.9465351,94.65,red,Pre-default risk. Immediate branch escalation recommended.,True
453154,1,0.9461837,94.62,red,Pre-default risk. Immediate branch escalation recommended.,True
231970,1,0.9459164,94.59,red,Pre-default risk. Immediate branch escalation recommended.,True
165270,0,0.9456368,94.56,red,Pre-default risk. Immediate branch escalation recommended.,True
395154,1,0.9449997,94.5,red,Pre-default risk. Immediate branch escalation recommended.,True
341274,0,0.9446086,94.46,red,Pre-default risk. Immediate branch escalation recommended.,True
300329,1,0.9442164,94.42,red,Pre-default risk. Immediate branch escalation recommended.,True
281558,1,0.9438271,94.38,red,Pre-default risk. Immediate branch escalation recommended.,True
236394,0,0.9437907,94.38,red,Pre-default risk. Immediate branch escalation recommended.,True
316050,0,0.9436995,94.37,red,Pre-default risk. Immediate branch escalation recommended.,True
260436,0,0.94353783,94.35,red,Pre-default risk. Immediate branch escalation recommended.,True
136974,1,0.9434194,94.34,red,Pre-default risk. Immediate branch escalation recommended.,True
451232,1,0.94318455,94.32,red,Pre-default risk. Immediate branch escalation recommended.,True
317450,1,0.94320875,94.32,red,Pre-default risk. Immediate branch escalation recommended.,True
167049,1,0.94312084,94.31,red,Pre-default risk. Immediate branch escalation recommended.,True
154448,1,0.94309443,94.31,red,Pre-default risk. Immediate branch escalation recommended.,True
324760,1,0.9430084,94.3,red,Pre-default risk. Immediate branch escalation recommended.,True
258633,0,0.9428078,94.28,red,Pre-default risk. Immediate branch escalation recommended.,True
129426,1,0.94267094,94.27,red,Pre-default risk. Immediate branch escalation recommended.,True
395476,1,0.9427238,94.27,red,Pre-default risk. Immediate branch escalation recommended.,True
255264,1,0.942661,94.27,red,Pre-default risk. Immediate branch escalation recommended.,True
273439,1,0.9424234,94.24,red,Pre-default risk. Immediate branch escalation recommended.,True
247181,0,0.942246,94.22,red,Pre-default risk. Immediate branch escalation recommended.,True
296505,1,0.9421075,94.21,red,Pre-default risk. Immediate branch escalation recommended.,True
331463,1,0.9417538,94.18,red,Pre-default risk. Immediate branch escalation recommended.,True
152805,1,0.9416539,94.17,red,Pre-default risk. Immediate branch escalation recommended.,True
100558,0,0.94168234,94.17,red,Pre-default risk. Immediate branch escalation recommended.,True
164923,1,0.9412401,94.12,red,Pre-default risk. Immediate branch escalation recommended.,True
373606,1,0.9409791,94.1,red,Pre-default risk. Immediate branch escalation recommended.,True
342618,1,0.9408315,94.08,red,Pre-default risk. Immediate branch escalation recommended.,True
303323,1,0.94045377,94.05,red,Pre-default risk. Immediate branch escalation recommended.,True
423384,1,0.9402811,94.03,red,Pre-default risk. Immediate branch escalation recommended.,True
424227,0,0.94007975,94.01,red,Pre-default risk. Immediate branch escalation recommended.,True
271491,0,0.94008195,94.01,red,Pre-default risk. Immediate branch escalation recommended.,True
125070,1,0.9399221,93.99,red,Pre-default risk. Immediate branch escalation recommended.,True
316762,1,0.9397103,93.97,red,Pre-default risk. Immediate branch escalation recommended.,True
