SK_ID_CURR,actual_TARGET,predicted_probability,risk_score,risk_tier,recommended_action
304421,1,0.9666762,96.67,red,Pre-default risk. Immediate branch escalation recommended.
269598,1,0.9607719,96.08,red,Pre-default risk. Immediate branch escalation recommended.
320907,0,0.95695806,95.7,red,Pre-default risk. Immediate branch escalation recommended.
374276,1,0.9480804,94.81,red,Pre-default risk. Immediate branch escalation recommended.
181065,1,0.945623,94.56,red,Pre-default risk. Immediate branch escalation recommended.
219786,0,0.9454058,94.54,red,Pre-default risk. Immediate branch escalation recommended.
454088,1,0.9447635,94.48,red,Pre-default risk. Immediate branch escalation recommended.
135388,1,0.9400332,94.0,red,Pre-default risk. Immediate branch escalation recommended.
226520,0,0.9362037,93.62,red,Pre-default risk. Immediate branch escalation recommended.
337857,1,0.93466824,93.47,red,Pre-default risk. Immediate branch escalation recommended.
166323,1,0.9338799,93.39,red,Pre-default risk. Immediate branch escalation recommended.
416279,1,0.93369967,93.37,red,Pre-default risk. Immediate branch escalation recommended.
224163,1,0.9334714,93.35,red,Pre-default risk. Immediate branch escalation recommended.
321793,1,0.9329304,93.29,red,Pre-default risk. Immediate branch escalation recommended.
146575,0,0.9326939,93.27,red,Pre-default risk. Immediate branch escalation recommended.
163880,1,0.93264735,93.26,red,Pre-default risk. Immediate branch escalation recommended.
124021,0,0.931544,93.15,red,Pre-default risk. Immediate branch escalation recommended.
425319,0,0.9306685,93.07,red,Pre-default risk. Immediate branch escalation recommended.
398002,1,0.93039656,93.04,red,Pre-default risk. Immediate branch escalation recommended.
360854,1,0.9298715,92.99,red,Pre-default risk. Immediate branch escalation recommended.
185488,0,0.9298706,92.99,red,Pre-default risk. Immediate branch escalation recommended.
442679,0,0.9292196,92.92,red,Pre-default risk. Immediate branch escalation recommended.
456108,1,0.92868054,92.87,red,Pre-default risk. Immediate branch escalation recommended.
448867,1,0.9284254,92.84,red,Pre-default risk. Immediate branch escalation recommended.
258636,1,0.928374,92.84,red,Pre-default risk. Immediate branch escalation recommended.
160568,0,0.92819834,92.82,red,Pre-default risk. Immediate branch escalation recommended.
125415,0,0.92791927,92.79,red,Pre-default risk. Immediate branch escalation recommended.
374693,0,0.9263318,92.63,red,Pre-default risk. Immediate branch escalation recommended.
293721,0,0.9258993,92.59,red,Pre-default risk. Immediate branch escalation recommended.
421460,1,0.9259378,92.59,red,Pre-default risk. Immediate branch escalation recommended.
354137,0,0.9245027,92.45,red,Pre-default risk. Immediate branch escalation recommended.
425868,1,0.92412657,92.41,red,Pre-default risk. Immediate branch escalation recommended.
261600,1,0.9240836,92.41,red,Pre-default risk. Immediate branch escalation recommended.
172142,0,0.9239716,92.4,red,Pre-default risk. Immediate branch escalation recommended.
129525,1,0.9234357,92.34,red,Pre-default risk. Immediate branch escalation recommended.
194916,1,0.92269045,92.27,red,Pre-default risk. Immediate branch escalation recommended.
452629,1,0.92254025,92.25,red,Pre-default risk. Immediate branch escalation recommended.
247186,1,0.92223877,92.22,red,Pre-default risk. Immediate branch escalation recommended.
303394,0,0.9219454,92.19,red,Pre-default risk. Immediate branch escalation recommended.
389465,1,0.9217538,92.18,red,Pre-default risk. Immediate branch escalation recommended.
397733,1,0.9196379,91.96,red,Pre-default risk. Immediate branch escalation recommended.
153909,1,0.91947305,91.95,red,Pre-default risk. Immediate branch escalation recommended.
377793,0,0.91951054,91.95,red,Pre-default risk. Immediate branch escalation recommended.
280448,0,0.91908675,91.91,red,Pre-default risk. Immediate branch escalation recommended.
222477,0,0.91809195,91.81,red,Pre-default risk. Immediate branch escalation recommended.
395659,1,0.9179819,91.8,red,Pre-default risk. Immediate branch escalation recommended.
262490,1,0.9177734,91.78,red,Pre-default risk. Immediate branch escalation recommended.
377040,0,0.91761243,91.76,red,Pre-default risk. Immediate branch escalation recommended.
359090,1,0.91727114,91.73,red,Pre-default risk. Immediate branch escalation recommended.
282547,1,0.91716903,91.72,red,Pre-default risk. Immediate branch escalation recommended.
409155,0,0.91707724,91.71,red,Pre-default risk. Immediate branch escalation recommended.
120204,1,0.91686904,91.69,red,Pre-default risk. Immediate branch escalation recommended.
344085,0,0.91626626,91.63,red,Pre-default risk. Immediate branch escalation recommended.
388411,1,0.9159741,91.6,red,Pre-default risk. Immediate branch escalation recommended.
215557,1,0.915616,91.56,red,Pre-default risk. Immediate branch escalation recommended.
285937,0,0.9156464,91.56,red,Pre-default risk. Immediate branch escalation recommended.
378234,1,0.9152139,91.52,red,Pre-default risk. Immediate branch escalation recommended.
422872,0,0.9147806,91.48,red,Pre-default risk. Immediate branch escalation recommended.
330115,0,0.914497,91.45,red,Pre-default risk. Immediate branch escalation recommended.
154022,1,0.9135856,91.36,red,Pre-default risk. Immediate branch escalation recommended.
217810,1,0.913062,91.31,red,Pre-default risk. Immediate branch escalation recommended.
142800,0,0.91231334,91.23,red,Pre-default risk. Immediate branch escalation recommended.
383119,0,0.91200876,91.2,red,Pre-default risk. Immediate branch escalation recommended.
445424,1,0.9119098,91.19,red,Pre-default risk. Immediate branch escalation recommended.
256968,0,0.91164154,91.16,red,Pre-default risk. Immediate branch escalation recommended.
363776,0,0.91149145,91.15,red,Pre-default risk. Immediate branch escalation recommended.
128809,0,0.9105846,91.06,red,Pre-default risk. Immediate branch escalation recommended.
267160,1,0.909972,91.0,red,Pre-default risk. Immediate branch escalation recommended.
136865,0,0.90998614,91.0,red,Pre-default risk. Immediate branch escalation recommended.
452342,0,0.9095512,90.96,red,Pre-default risk. Immediate branch escalation recommended.
100189,0,0.90927416,90.93,red,Pre-default risk. Immediate branch escalation recommended.
221520,0,0.9091805,90.92,red,Pre-default risk. Immediate branch escalation recommended.
227574,0,0.90877485,90.88,red,Pre-default risk. Immediate branch escalation recommended.
349857,0,0.90798455,90.8,red,Pre-default risk. Immediate branch escalation recommended.
