feature,mean_abs_shap
EXT_SOURCE_2,0.33581358
EXT_SOURCE_3,0.2810275
EXT_SOURCE_1,0.13041724
ANNUITY_CREDIT_RATIO,0.118704215
BUREAU_BUREAU_DEBT_CREDIT_RATIO_MAX,0.110640794
GOODS_CREDIT_RATIO,0.104147166
INST_LATE_PAYMENT_FLAG_MEAN,0.096393436
AMT_ANNUITY,0.09023512
INST_AMT_PAYMENT_SUM,0.08358867
CODE_GENDER_F,0.082088456
PREV_CNT_PAYMENT_MAX,0.07049329
NAME_FAMILY_STATUS_Married,0.06249305
FLAG_OWN_CAR_N,0.062093534
NAME_EDUCATION_TYPE_Higher education,0.06134285
PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,0.05939597
INST_PAYMENT_DELAY_MAX,0.053311262
BUREAU_DAYS_CREDIT_ENDDATE_MAX,0.051095758
CODE_GENDER_M,0.050814323
INST_AMT_INSTALMENT_MAX,0.04881474
PREV_PREV_REFUSED_FLAG_MEAN,0.04605789
EMPLOYED_YEARS,0.043848455
AMT_GOODS_PRICE,0.043606475
BUREAU_BUREAU_DEBT_CREDIT_RATIO_MEAN,0.042917427
PREV_AMT_ANNUITY_MEAN,0.04074324
DAYS_EMPLOYED,0.038614832
ANNUITY_INCOME_RATIO,0.0377985
DAYS_BIRTH,0.035896618
AGE_YEARS,0.034586683
INST_DAYS_ENTRY_PAYMENT_MAX,0.03155902
PREV_AMT_DOWN_PAYMENT_MAX,0.029501216
INST_AMT_PAYMENT_MEAN,0.028520925
REGION_POPULATION_RELATIVE,0.027623365
FLAG_DOCUMENT_3,0.027595604
AMT_CREDIT,0.026940562
EMPLOYED_AGE_RATIO,0.026555084
REGION_RATING_CLIENT_W_CITY,0.024482341
INST_AMT_PAYMENT_MAX,0.024474476
AMT_REQ_CREDIT_BUREAU_QRT,0.02414055
PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,0.02363614
INST_DAYS_INSTALMENT_MIN,0.023580661
INST_PAYMENT_DELAY_MEAN,0.023380945
ID_PUBLISH_YEARS,0.023113979
DAYS_LAST_PHONE_CHANGE,0.022536444
INST_PAYMENT_SHORTFALL_MEAN,0.022361469
DAYS_ID_PUBLISH,0.021283362
