feature,mean_abs_shap
EXT_SOURCE_2,0.3470134
EXT_SOURCE_3,0.26074946
EXT_SOURCE_1,0.1436793
AMT_ANNUITY,0.11341356
GOODS_CREDIT_RATIO,0.1109917
INST_AMT_PAYMENT_SUM,0.1025581
INST_LATE_PAYMENT_FLAG_MEAN,0.10067698
BUREAU_BUREAU_DEBT_CREDIT_RATIO_MAX,0.09246533
ANNUITY_CREDIT_RATIO,0.08636217
CODE_GENDER_F,0.079022236
PREV_CNT_PAYMENT_MAX,0.072528385
INST_PAYMENT_DELAY_MAX,0.07210096
PREV_PREV_CREDIT_APPLICATION_RATIO_MEAN,0.07166411
CODE_GENDER_M,0.059069764
NAME_EDUCATION_TYPE_Higher education,0.05675375
FLAG_OWN_CAR_N,0.052796822
EMPLOYED_YEARS,0.05184615
NAME_FAMILY_STATUS_Married,0.05111829
INST_AMT_INSTALMENT_MAX,0.05026662
DAYS_EMPLOYED,0.049155645
ANNUITY_INCOME_RATIO,0.04535645
PREV_PREV_ANNUITY_CREDIT_RATIO_MEAN,0.042386763
AMT_GOODS_PRICE,0.04009626
INST_DAYS_INSTALMENT_MAX,0.03777992
REGION_POPULATION_RELATIVE,0.037109982
AGE_YEARS,0.036048435
DAYS_BIRTH,0.0360032
PREV_PREV_REFUSED_FLAG_MEAN,0.03571413
PREV_AMT_DOWN_PAYMENT_MAX,0.034910798
INST_DAYS_ENTRY_PAYMENT_MEAN,0.031294998
BUREAU_BUREAU_DEBT_CREDIT_RATIO_MEAN,0.031232065
FLAG_DOCUMENT_3,0.029146906
BUREAU_DAYS_CREDIT_ENDDATE_MAX,0.028879555
ID_PUBLISH_YEARS,0.028517408
PREV_AMT_ANNUITY_MEAN,0.028171519
INST_PAYMENT_SHORTFALL_MEAN,0.02364445
PREV_PREV_APPROVED_FLAG_MEAN,0.023155391
AMT_CREDIT,0.023150353
DAYS_LAST_PHONE_CHANGE,0.022518378
INST_DAYS_ENTRY_PAYMENT_MAX,0.02115124
INST_DAYS_INSTALMENT_MIN,0.021066992
BUREAU_DAYS_CREDIT_MEAN,0.020048093
PREV_PREV_APPROVED_FLAG_SUM,0.019993702
INST_PAYMENT_DELAY_MEAN,0.019018283
INST_DAYS_INSTALMENT_MEAN,0.017747857
INST_DAYS_ENTRY_PAYMENT_MIN,0.017082946
BUREAU_DAYS_CREDIT_MAX,0.016969552
NAME_CONTRACT_TYPE_Cash loans,0.016798522
AMT_REQ_CREDIT_BUREAU_QRT,0.015658308
INST_SK_ID_PREV_COUNT,0.015571655
FLAG_WORK_PHONE,0.01543195
PREV_PREV_ANNUITY_CREDIT_RATIO_MAX,0.015377107
OCCUPATION_TYPE_Core staff,0.015298537
PREV_AMT_ANNUITY_MAX,0.0149577325
INST_NUM_INSTALMENT_VERSION_NUNIQUE,0.014795636
INST_AMT_PAYMENT_MAX,0.014672389
BUREAU_AMT_CREDIT_SUM_MAX,0.014558662
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,0.0145133
REGION_RATING_CLIENT_W_CITY,0.014322876
INST_AMT_PAYMENT_MEAN,0.014288583
NAME_INCOME_TYPE_Working,0.014237921
EMPLOYED_AGE_RATIO,0.013727104
BUREAU_BUREAU_IS_CLOSED_MEAN,0.013615078
AMT_REQ_CREDIT_BUREAU_YEAR,0.013411113
BUREAU_AMT_CREDIT_SUM_MEAN,0.013231876
BUREAU_AMT_CREDIT_SUM_SUM,0.013049791
DEF_30_CNT_SOCIAL_CIRCLE,0.0130040785
PREV_CNT_PAYMENT_MEAN,0.012644912
DAYS_ID_PUBLISH,0.01239044
DEF_60_CNT_SOCIAL_CIRCLE,0.012367817
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.012334018
INST_PAYMENT_RATIO_MEAN,0.012263165
PREV_RATE_DOWN_PAYMENT_MAX,0.011953008
PREV_PREV_CREDIT_APPLICATION_RATIO_MAX,0.011853331
INST_AMT_INSTALMENT_SUM,0.011702389
REG_CITY_NOT_LIVE_CITY,0.011264654
HOUR_APPR_PROCESS_START,0.011166995
INST_NUM_INSTALMENT_NUMBER_MAX,0.011093099
CREDIT_INCOME_RATIO,0.010811413
PREV_AMT_DOWN_PAYMENT_MEAN,0.010299939
REGISTRATION_YEARS,0.010046116
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,0.010034721
PREV_DAYS_DECISION_MAX,0.009658834
BUREAU_DAYS_CREDIT_ENDDATE_MIN,0.009110048
OCCUPATION_TYPE_Sales staff,0.009018089
WALLSMATERIAL_MODE_Panel,0.008712827
BUREAU_BUREAU_IS_ACTIVE_MEAN,0.008164968
NAME_EDUCATION_TYPE_Secondary / secondary special,0.008042184
YEARS_BEGINEXPLUATATION_AVG,0.00771852
INST_PAYMENT_SHORTFALL_SUM,0.007559814
DAYS_REGISTRATION,0.007538902
INST_PAYMENT_SHORTFALL_FLAG_MEAN,0.0075106365
PREV_DAYS_DECISION_MEAN,0.0073342626
PREV_HOUR_APPR_PROCESS_START_MEAN,0.007256929
PREV_DAYS_DECISION_MIN,0.007167868
APARTMENTS_MODE,0.007066529
LIVINGAREA_MODE,0.006749378
PREV_AMT_CREDIT_SUM,0.006677664
NONLIVINGAREA_AVG,0.0065715904
BUREAU_DAYS_CREDIT_ENDDATE_MEAN,0.0064421124
PREV_AMT_CREDIT_MEAN,0.00633493
YEARS_BEGINEXPLUATATION_MODE,0.006112656
PREV_RATE_DOWN_PAYMENT_MEAN,0.0060228882
PREV_AMT_APPLICATION_MEAN,0.0058881384
ORGANIZATION_TYPE_Self-employed,0.005724926
PREV_AMT_CREDIT_MAX,0.005371008
FLOORSMAX_MEDI,0.0053503118
BUREAU_DAYS_CREDIT_MIN,0.005230552
YEARS_BEGINEXPLUATATION_MEDI,0.0049871486
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,0.0049487264
LANDAREA_MODE,0.0049227886
APARTMENTS_AVG,0.004888877
FLAG_OWN_CAR_Y,0.0048583983
BUREAU_BUREAU_IS_ACTIVE_SUM,0.0048104995
NAME_INCOME_TYPE_State servant,0.0046414686
INST_PAYMENT_SHORTFALL_MAX,0.0046393536
INST_PAYMENT_RATIO_MIN,0.0045857932
PREV_AMT_APPLICATION_SUM,0.0044325828
NONLIVINGAREA_MEDI,0.0040924307
FLOORSMAX_AVG,0.004052028
INST_AMT_INSTALMENT_MEAN,0.0039598914
AMT_INCOME_TOTAL,0.003938587
NAME_FAMILY_STATUS_Single / not married,0.00385166
ORGANIZATION_TYPE_School,0.003632865
ORGANIZATION_TYPE_Military,0.0036075693
APARTMENTS_MEDI,0.0034672043
